"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\Learn\20232_DATN\Code\Frontend\src\layouts\dashboard\nav.jsx", "JavaScript JSX", 0, 147, 0, 2, 26, 175
"d:\Learn\20232_DATN\Code\Frontend\src\main.jsx", "JavaScript JSX", 0, 19, 0, 2, 5, 26
"d:\Learn\20232_DATN\Code\Frontend\src\pages\cart.jsx", "JavaScript JSX", 0, 12, 0, 1, 5, 18
"d:\Learn\20232_DATN\Code\Frontend\src\pages\dashboard.jsx", "JavaScript JSX", 0, 12, 0, 1, 4, 17
"d:\Learn\20232_DATN\Code\Frontend\src\pages\forbidden.jsx", "JavaScript JSX", 0, 12, 0, 1, 4, 17
"d:\Learn\20232_DATN\Code\Frontend\src\pages\login.jsx", "JavaScript JSX", 0, 12, 0, 1, 5, 18
"d:\Learn\20232_DATN\Code\Frontend\src\pages\order.jsx", "JavaScript JSX", 0, 12, 0, 1, 5, 18
"d:\Learn\20232_DATN\Code\Frontend\src\pages\page-not-found.jsx", "JavaScript JSX", 0, 12, 0, 1, 5, 18
"d:\Learn\20232_DATN\Code\Frontend\src\pages\product-detail.jsx", "JavaScript JSX", 0, 12, 0, 1, 5, 18
"d:\Learn\20232_DATN\Code\Frontend\src\pages\product-manage.jsx", "JavaScript JSX", 0, 12, 0, 1, 5, 18
"d:\Learn\20232_DATN\Code\Frontend\src\pages\products.jsx", "JavaScript JSX", 0, 12, 0, 1, 5, 18
"d:\Learn\20232_DATN\Code\Frontend\src\pages\profile.jsx", "JavaScript JSX", 0, 12, 0, 1, 5, 18
"d:\Learn\20232_DATN\Code\Frontend\src\pages\signup.jsx", "JavaScript JSX", 0, 12, 0, 0, 3, 15
"d:\Learn\20232_DATN\Code\Frontend\src\pages\user.jsx", "JavaScript JSX", 0, 12, 0, 1, 5, 18
"d:\Learn\20232_DATN\Code\Frontend\src\redux\action.js", "JavaScript", 17, 0, 0, 0, 2, 19
"d:\Learn\20232_DATN\Code\Frontend\src\redux\reducer.js", "JavaScript", 16, 0, 0, 0, 4, 20
"d:\Learn\20232_DATN\Code\Frontend\src\redux\store.js", "JavaScript", 5, 0, 0, 0, 4, 9
"d:\Learn\20232_DATN\Code\Frontend\src\routes\components\index.js", "JavaScript", 1, 0, 0, 0, 1, 2
"d:\Learn\20232_DATN\Code\Frontend\src\routes\components\router-link.jsx", "JavaScript JSX", 0, 8, 0, 1, 5, 14
"d:\Learn\20232_DATN\Code\Frontend\src\routes\hooks\index.js", "JavaScript", 2, 0, 0, 0, 1, 3
"d:\Learn\20232_DATN\Code\Frontend\src\routes\hooks\use-pathname.js", "JavaScript", 6, 0, 0, 1, 4, 11
"d:\Learn\20232_DATN\Code\Frontend\src\routes\hooks\use-router.js", "JavaScript", 16, 0, 0, 1, 5, 22
"d:\Learn\20232_DATN\Code\Frontend\src\routes\protected\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Learn\20232_DATN\Code\Frontend\src\routes\protected\protected-route.jsx", "JavaScript JSX", 0, 7, 0, 0, 1, 8
"d:\Learn\20232_DATN\Code\Frontend\src\routes\sections.jsx", "JavaScript JSX", 0, 83, 0, 1, 6, 90
"d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\Information.css", "CSS", 0, 0, 14, 1, 2, 17
"d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\cart-table.jsx", "JavaScript JSX", 0, 65, 0, 1, 2, 68
"d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\cartview.css", "CSS", 0, 0, 52, 0, 11, 63
"d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\information.jsx", "JavaScript JSX", 0, 16, 0, 0, 2, 18
"d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\order-button.jsx", "JavaScript JSX", 0, 14, 0, 1, 2, 17
"d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\view\cart-view.jsx", "JavaScript JSX", 0, 163, 0, 0, 17, 180
"d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\view\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Learn\20232_DATN\Code\Frontend\src\sections\dashboard\view\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Learn\20232_DATN\Code\Frontend\src\sections\dashboard\view\overview.jsx", "JavaScript JSX", 0, 145, 0, 1, 9, 155
"d:\Learn\20232_DATN\Code\Frontend\src\sections\error\forbidden.jsx", "JavaScript JSX", 0, 62, 0, 1, 10, 73
"d:\Learn\20232_DATN\Code\Frontend\src\sections\error\index.js", "JavaScript", 2, 0, 0, 0, 0, 2
"d:\Learn\20232_DATN\Code\Frontend\src\sections\error\not-found-view.jsx", "JavaScript JSX", 0, 62, 0, 1, 10, 73
"d:\Learn\20232_DATN\Code\Frontend\src\sections\login\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Learn\20232_DATN\Code\Frontend\src\sections\login\login-view.jsx", "JavaScript JSX", 0, 186, 0, 1, 33, 220
"d:\Learn\20232_DATN\Code\Frontend\src\sections\order\admin-table.jsx", "JavaScript JSX", 0, 148, 0, 1, 11, 160
